uav_id,cluster_id,throughput_kbps,pdr,avg_delay_ms,sinr_db,jammed,drop_prob
0,0,766.868,0,0,-6.05195,1,0.562078
1,0,0,0,0,-1.34863,1,0.373945
2,0,0,0,0,-11.0261,1,0.761044
3,0,0,0,0,-17.9604,1,0.8
4,0,0,0,0,-0.154997,1,0.3262
5,0,0,0,0,2.31844,1,0.227262
6,1,0,0,0,-17.54,1,0.8
7,1,0,0,0,-8.1702,1,0.646808
8,1,0,0,0,-12.7129,1,0.8
9,1,0,0,0,1.72645,1,0.250942
10,1,0,0,0,2.40632,1,0.223747
11,1,0,0,0,-0.610908,1,0.344436
12,2,0,0,0,2.02454,1,0.239018
13,2,0,0,0,2.50309,1,0.219877
14,2,0,0,0,2.16223,1,0.233511
15,2,0,0,0,0.164955,1,0.313402
16,2,0,0,0,2.89191,1,0.204324
17,2,0,0,0,3.4053,1,0.183788
