sim_time_s,operation,node_id,cluster_id,wall_us,data_bytes
0,CRT_LOAD_PARAMS,0,0,3412,6
0,MTK_MTOKEN_GEN,0,0,10,6
5,SLAVE_KEY_ASSIGN,0,0,1044,0
25,SLAVE_KEY_ASSIGN,1,0,219522,0
45,SLAVE_KEY_ASSIGN,2,1,8352,0
65,SLAVE_KEY_ASSIGN,3,1,20939,0
85,SLAVE_KEY_ASSIGN,4,2,7380,0
105,SLAVE_KEY_ASSIGN,5,2,8283,0
125,SLAVE_KEY_ASSIGN,0,0,205106,0
145,SLAVE_KEY_ASSIGN,1,0,1072,0
165,SLAVE_KEY_ASSIGN,2,1,958,0
185,SLAVE_KEY_ASSIGN,3,1,905,0
205,SLAVE_KEY_ASSIGN,4,2,9002,0
225,SLAVE_KEY_ASSIGN,5,2,24570,0
245,SLAVE_KEY_ASSIGN,0,0,151189,0
265,SLAVE_KEY_ASSIGN,1,0,224054,0
285,SLAVE_KEY_ASSIGN,2,1,8349,0
305,SLAVE_KEY_ASSIGN,3,1,24049,0
325,SLAVE_KEY_ASSIGN,4,2,8678,0
345,SLAVE_KEY_ASSIGN,5,2,21833,0
365,SLAVE_KEY_ASSIGN,0,0,145458,0
385,SLAVE_KEY_ASSIGN,1,0,221306,0
405,SLAVE_KEY_ASSIGN,2,1,9102,0
425,SLAVE_KEY_ASSIGN,3,1,23004,0
445,SLAVE_KEY_ASSIGN,4,2,9940,0
465,SLAVE_KEY_ASSIGN,5,2,28427,0
485,SLAVE_KEY_ASSIGN,0,0,151591,0
505,SLAVE_KEY_ASSIGN,1,0,223718,0
525,SLAVE_KEY_ASSIGN,2,1,8589,0
545,SLAVE_KEY_ASSIGN,3,1,22463,0
565,SLAVE_KEY_ASSIGN,4,2,7394,0
585,SLAVE_KEY_ASSIGN,5,2,20668,0
605,SLAVE_KEY_ASSIGN,0,0,201571,0
625,SLAVE_KEY_ASSIGN,1,0,196209,0
645,SLAVE_KEY_ASSIGN,2,1,20890,0
665,SLAVE_KEY_ASSIGN,3,1,20896,0
685,SLAVE_KEY_ASSIGN,4,2,797,0
705,SLAVE_KEY_ASSIGN,5,2,776,0
725,SLAVE_KEY_ASSIGN,0,0,749,0
745,SLAVE_KEY_ASSIGN,1,0,754,0
765,SLAVE_KEY_ASSIGN,2,1,916,0
785,SLAVE_KEY_ASSIGN,3,1,771,0
805,SLAVE_KEY_ASSIGN,4,2,7628,0
825,SLAVE_KEY_ASSIGN,5,2,20412,0
845,SLAVE_KEY_ASSIGN,0,0,130453,0
865,SLAVE_KEY_ASSIGN,1,0,196505,0
885,SLAVE_KEY_ASSIGN,2,1,7757,0
905,SLAVE_KEY_ASSIGN,3,1,21348,0
925,SLAVE_KEY_ASSIGN,4,2,7340,0
945,SLAVE_KEY_ASSIGN,5,2,20304,0
965,SLAVE_KEY_ASSIGN,0,0,129872,0
985,SLAVE_KEY_ASSIGN,1,0,202870,0
