time_s,uav_id,cluster_id,payload_plaintext,encrypted_bytes,tek_version
5.0,0,0,UAV0|CLU0|T5.0|ALT80.0|SPD12.0|STATUS:OK|CRT-GCRT-SECURED,101,1
5.0,1,0,UAV1|CLU0|T5.0|ALT85.0|SPD12.5|STATUS:OK|CRT-GCRT-SECURED,101,1
5.0,2,0,UAV2|CLU0|T5.0|ALT90.0|SPD13.0|STATUS:OK|CRT-GCRT-SECURED,101,1
5.0,3,0,UAV3|CLU0|T5.0|ALT95.0|SPD13.5|STATUS:OK|CRT-GCRT-SECURED,101,1
5.0,4,1,UAV4|CLU1|T5.0|ALT100.0|SPD14.0|STATUS:OK|CRT-GCRT-SECURED,102,1
5.0,5,1,UAV5|CLU1|T5.0|ALT105.0|SPD14.5|STATUS:OK|CRT-GCRT-SECURED,102,1
5.0,6,1,UAV6|CLU1|T5.0|ALT110.0|SPD15.0|STATUS:OK|CRT-GCRT-SECURED,102,1
5.0,7,1,UAV7|CLU1|T5.0|ALT115.0|SPD15.5|STATUS:OK|CRT-GCRT-SECURED,102,1
5.0,8,2,UAV8|CLU2|T5.0|ALT120.0|SPD16.0|STATUS:OK|CRT-GCRT-SECURED,102,1
5.0,9,2,UAV9|CLU2|T5.0|ALT125.0|SPD16.5|STATUS:OK|CRT-GCRT-SECURED,102,1
5.0,10,2,UAV10|CLU2|T5.0|ALT130.0|SPD17.0|STATUS:OK|CRT-GCRT-SECURED,103,1
5.0,11,2,UAV11|CLU2|T5.0|ALT135.0|SPD17.5|STATUS:OK|CRT-GCRT-SECURED,103,1
35.0,0,0,UAV0|CLU0|T35.0|ALT80.0|SPD12.0|STATUS:OK|CRT-GCRT-SECURED,102,2
35.0,1,0,UAV1|CLU0|T35.0|ALT85.0|SPD12.5|STATUS:OK|CRT-GCRT-SECURED,102,2
35.0,2,0,UAV2|CLU0|T35.0|ALT90.0|SPD13.0|STATUS:OK|CRT-GCRT-SECURED,102,2
35.0,3,0,UAV3|CLU0|T35.0|ALT95.0|SPD13.5|STATUS:OK|CRT-GCRT-SECURED,102,2
35.0,4,1,UAV4|CLU1|T35.0|ALT100.0|SPD14.0|STATUS:OK|CRT-GCRT-SECURED,103,2
35.0,5,1,UAV5|CLU1|T35.0|ALT105.0|SPD14.5|STATUS:OK|CRT-GCRT-SECURED,103,2
35.0,6,1,UAV6|CLU1|T35.0|ALT110.0|SPD15.0|STATUS:OK|CRT-GCRT-SECURED,103,2
35.0,7,1,UAV7|CLU1|T35.0|ALT115.0|SPD15.5|STATUS:OK|CRT-GCRT-SECURED,103,2
35.0,8,2,UAV8|CLU2|T35.0|ALT120.0|SPD16.0|STATUS:OK|CRT-GCRT-SECURED,103,2
35.0,9,2,UAV9|CLU2|T35.0|ALT125.0|SPD16.5|STATUS:OK|CRT-GCRT-SECURED,103,2
35.0,10,2,UAV10|CLU2|T35.0|ALT130.0|SPD17.0|STATUS:OK|CRT-GCRT-SECURED,104,2
35.0,11,2,UAV11|CLU2|T35.0|ALT135.0|SPD17.5|STATUS:OK|CRT-GCRT-SECURED,104,2
65.0,0,0,UAV0|CLU0|T65.0|ALT80.0|SPD12.0|STATUS:OK|CRT-GCRT-SECURED,102,8
65.0,1,0,UAV1|CLU0|T65.0|ALT85.0|SPD12.5|STATUS:OK|CRT-GCRT-SECURED,102,8
65.0,2,0,UAV2|CLU0|T65.0|ALT90.0|SPD13.0|STATUS:OK|CRT-GCRT-SECURED,102,8
65.0,3,0,UAV3|CLU0|T65.0|ALT95.0|SPD13.5|STATUS:OK|CRT-GCRT-SECURED,102,8
65.0,4,1,UAV4|CLU1|T65.0|ALT100.0|SPD14.0|STATUS:OK|CRT-GCRT-SECURED,103,8
65.0,5,1,UAV5|CLU1|T65.0|ALT105.0|SPD14.5|STATUS:OK|CRT-GCRT-SECURED,103,8
65.0,6,1,UAV6|CLU1|T65.0|ALT110.0|SPD15.0|STATUS:OK|CRT-GCRT-SECURED,103,8
65.0,7,1,UAV7|CLU1|T65.0|ALT115.0|SPD15.5|STATUS:OK|CRT-GCRT-SECURED,103,8
65.0,8,2,UAV8|CLU2|T65.0|ALT120.0|SPD16.0|STATUS:OK|CRT-GCRT-SECURED,103,8
65.0,9,2,UAV9|CLU2|T65.0|ALT125.0|SPD16.5|STATUS:OK|CRT-GCRT-SECURED,103,8
65.0,10,2,UAV10|CLU2|T65.0|ALT130.0|SPD17.0|STATUS:OK|CRT-GCRT-SECURED,104,8
65.0,11,2,UAV11|CLU2|T65.0|ALT135.0|SPD17.5|STATUS:OK|CRT-GCRT-SECURED,104,8
95.0,0,0,UAV0|CLU0|T95.0|ALT80.0|SPD12.0|STATUS:OK|CRT-GCRT-SECURED,102,12
95.0,1,0,UAV1|CLU0|T95.0|ALT85.0|SPD12.5|STATUS:OK|CRT-GCRT-SECURED,102,12
95.0,2,0,UAV2|CLU0|T95.0|ALT90.0|SPD13.0|STATUS:OK|CRT-GCRT-SECURED,102,12
95.0,3,0,UAV3|CLU0|T95.0|ALT95.0|SPD13.5|STATUS:OK|CRT-GCRT-SECURED,102,12
95.0,4,1,UAV4|CLU1|T95.0|ALT100.0|SPD14.0|STATUS:OK|CRT-GCRT-SECURED,103,12
95.0,5,1,UAV5|CLU1|T95.0|ALT105.0|SPD14.5|STATUS:OK|CRT-GCRT-SECURED,103,12
95.0,6,1,UAV6|CLU1|T95.0|ALT110.0|SPD15.0|STATUS:OK|CRT-GCRT-SECURED,103,12
95.0,7,1,UAV7|CLU1|T95.0|ALT115.0|SPD15.5|STATUS:OK|CRT-GCRT-SECURED,103,12
95.0,8,2,UAV8|CLU2|T95.0|ALT120.0|SPD16.0|STATUS:OK|CRT-GCRT-SECURED,103,12
95.0,9,2,UAV9|CLU2|T95.0|ALT125.0|SPD16.5|STATUS:OK|CRT-GCRT-SECURED,103,12
95.0,10,2,UAV10|CLU2|T95.0|ALT130.0|SPD17.0|STATUS:OK|CRT-GCRT-SECURED,104,12
95.0,11,2,UAV11|CLU2|T95.0|ALT135.0|SPD17.5|STATUS:OK|CRT-GCRT-SECURED,104,12
125.0,0,0,UAV0|CLU0|T125.0|ALT80.0|SPD12.0|STATUS:OK|CRT-GCRT-SECURED,103,15
125.0,1,0,UAV1|CLU0|T125.0|ALT85.0|SPD12.5|STATUS:OK|CRT-GCRT-SECURED,103,15
125.0,2,0,UAV2|CLU0|T125.0|ALT90.0|SPD13.0|STATUS:OK|CRT-GCRT-SECURED,103,15
125.0,3,0,UAV3|CLU0|T125.0|ALT95.0|SPD13.5|STATUS:OK|CRT-GCRT-SECURED,103,15
125.0,4,1,UAV4|CLU1|T125.0|ALT100.0|SPD14.0|STATUS:OK|CRT-GCRT-SECURED,104,15
125.0,5,1,UAV5|CLU1|T125.0|ALT105.0|SPD14.5|STATUS:OK|CRT-GCRT-SECURED,104,15
125.0,6,1,UAV6|CLU1|T125.0|ALT110.0|SPD15.0|STATUS:OK|CRT-GCRT-SECURED,104,15
125.0,7,1,UAV7|CLU1|T125.0|ALT115.0|SPD15.5|STATUS:OK|CRT-GCRT-SECURED,104,15
125.0,8,2,UAV8|CLU2|T125.0|ALT120.0|SPD16.0|STATUS:OK|CRT-GCRT-SECURED,104,15
125.0,9,2,UAV9|CLU2|T125.0|ALT125.0|SPD16.5|STATUS:OK|CRT-GCRT-SECURED,104,15
125.0,10,2,UAV10|CLU2|T125.0|ALT130.0|SPD17.0|STATUS:OK|CRT-GCRT-SECURED,105,15
125.0,11,2,UAV11|CLU2|T125.0|ALT135.0|SPD17.5|STATUS:OK|CRT-GCRT-SECURED,105,15
155.0,0,0,UAV0|CLU0|T155.0|ALT80.0|SPD12.0|STATUS:OK|CRT-GCRT-SECURED,103,20
155.0,1,0,UAV1|CLU0|T155.0|ALT85.0|SPD12.5|STATUS:OK|CRT-GCRT-SECURED,103,20
155.0,2,0,UAV2|CLU0|T155.0|ALT90.0|SPD13.0|STATUS:OK|CRT-GCRT-SECURED,103,20
155.0,3,0,UAV3|CLU0|T155.0|ALT95.0|SPD13.5|STATUS:OK|CRT-GCRT-SECURED,103,20
155.0,4,1,UAV4|CLU1|T155.0|ALT100.0|SPD14.0|STATUS:OK|CRT-GCRT-SECURED,104,20
155.0,5,1,UAV5|CLU1|T155.0|ALT105.0|SPD14.5|STATUS:OK|CRT-GCRT-SECURED,104,20
155.0,6,1,UAV6|CLU1|T155.0|ALT110.0|SPD15.0|STATUS:OK|CRT-GCRT-SECURED,104,20
155.0,7,1,UAV7|CLU1|T155.0|ALT115.0|SPD15.5|STATUS:OK|CRT-GCRT-SECURED,104,20
155.0,8,2,UAV8|CLU2|T155.0|ALT120.0|SPD16.0|STATUS:OK|CRT-GCRT-SECURED,104,20
155.0,9,2,UAV9|CLU2|T155.0|ALT125.0|SPD16.5|STATUS:OK|CRT-GCRT-SECURED,104,20
155.0,10,2,UAV10|CLU2|T155.0|ALT130.0|SPD17.0|STATUS:OK|CRT-GCRT-SECURED,105,20
155.0,11,2,UAV11|CLU2|T155.0|ALT135.0|SPD17.5|STATUS:OK|CRT-GCRT-SECURED,105,20
185.0,0,0,UAV0|CLU0|T185.0|ALT80.0|SPD12.0|STATUS:OK|CRT-GCRT-SECURED,103,22
185.0,1,0,UAV1|CLU0|T185.0|ALT85.0|SPD12.5|STATUS:OK|CRT-GCRT-SECURED,103,22
185.0,2,0,UAV2|CLU0|T185.0|ALT90.0|SPD13.0|STATUS:OK|CRT-GCRT-SECURED,103,22
