time_s,event_type,uav_id,cluster_id,details
5,JOIN,0,0,ok
10,LEAVE,1,0,ok
25,JOIN,1,0,ok
35,LEAVE,2,0,ok
45,JOIN,2,0,ok
50,COMPROMISE,0,0,reason=0
50,COMPROMISE,0,0,hmac_fail
60,LEAVE,3,1,ok
60,BATCH_REKEY,255,ALL,global
65,JOIN,3,1,ok
80,HANDOVER,1,0→1
85,JOIN,4,1,ok
85,LEAVE,4,1,ok
105,JOIN,5,1,ok
110,LEAVE,5,1,ok
125,JOIN,6,2,ok
135,LEAVE,6,2,ok
145,JOIN,7,2,ok
160,LEAVE,7,2,ok
165,JOIN,8,2,ok
185,JOIN,0,0,ok
185,LEAVE,8,2,ok
205,JOIN,1,0,ok
210,LEAVE,0,0,ok
225,JOIN,2,0,ok
235,LEAVE,1,0,ok
245,JOIN,3,1,ok
260,LEAVE,2,0,ok
265,JOIN,4,1,ok
285,JOIN,5,1,ok
285,LEAVE,3,1,ok
305,JOIN,6,2,ok
310,LEAVE,4,1,ok
325,JOIN,7,2,ok
335,LEAVE,5,1,ok
345,JOIN,8,2,ok
360,LEAVE,6,2,ok
365,JOIN,0,0,ok
385,JOIN,1,0,ok
385,LEAVE,7,2,ok
405,JOIN,2,0,ok
410,LEAVE,8,2,ok
425,JOIN,3,1,ok
435,LEAVE,0,0,ok
445,JOIN,4,1,ok
460,LEAVE,1,0,ok
465,JOIN,5,1,ok
485,JOIN,6,2,ok
485,LEAVE,2,0,ok
505,JOIN,7,2,ok
510,LEAVE,3,1,ok
525,JOIN,8,2,ok
535,LEAVE,4,1,ok
545,JOIN,0,0,ok
560,LEAVE,5,1,ok
565,JOIN,1,0,ok
585,JOIN,2,0,ok
585,LEAVE,6,2,ok
605,JOIN,3,1,ok
610,LEAVE,7,2,ok
625,JOIN,4,1,ok
635,LEAVE,8,2,ok
645,JOIN,5,1,ok
660,LEAVE,0,0,ok
665,JOIN,6,2,ok
685,JOIN,7,2,ok
685,LEAVE,1,0,ok
705,JOIN,8,2,ok
710,LEAVE,2,0,ok
725,JOIN,0,0,ok
735,LEAVE,3,1,ok
745,JOIN,1,0,ok
760,LEAVE,4,1,ok
765,JOIN,2,0,ok
785,JOIN,3,1,ok
785,LEAVE,5,1,ok
805,JOIN,4,1,ok
810,LEAVE,6,2,ok
825,JOIN,5,1,ok
835,LEAVE,7,2,ok
845,JOIN,6,2,ok
860,LEAVE,8,2,ok
865,JOIN,7,2,ok
885,JOIN,8,2,ok
885,LEAVE,0,0,ok
905,JOIN,0,0,ok
910,LEAVE,1,0,ok
925,JOIN,1,0,ok
935,LEAVE,2,0,ok
945,JOIN,2,0,ok
960,LEAVE,3,1,ok
965,JOIN,3,1,ok
985,JOIN,4,1,ok
985,LEAVE,4,1,ok
