time_s,uav_id,cluster_id,success,reason
4.73017,0,0,1,OK
8.1271,1,0,1,OK
15.7302,1,0,1,OK
22.3271,2,0,1,OK
26.7302,2,0,1,OK
36.5271,3,0,1,OK
37.7302,3,0,1,OK
48.7302,4,0,1,OK
50,0,0,0,COMPROMISE
50.7271,4,0,1,OK
59.7302,5,0,1,OK
64.9271,5,0,1,OK
70.7302,6,1,1,OK
79.1271,6,1,1,OK
80,1,1,1,OK
81.7302,7,1,1,OK
92.7302,8,1,1,OK
93.3271,7,1,1,OK
103.73,9,1,1,OK
107.527,8,1,1,OK
114.73,10,1,1,OK
121.727,9,1,1,OK
125.73,11,1,1,OK
135.927,10,1,1,OK
136.73,12,2,1,OK
147.73,13,2,1,OK
150.127,11,1,1,OK
158.73,14,2,1,OK
164.327,12,2,1,OK
169.73,15,2,1,OK
178.527,13,2,1,OK
180.73,16,2,1,OK
191.73,17,2,1,OK
192.727,14,2,1,OK
202.73,0,0,1,OK
206.927,15,2,1,OK
213.73,1,0,1,OK
221.127,16,2,1,OK
224.73,2,0,1,OK
235.327,17,2,1,OK
235.73,3,0,1,OK
246.73,4,0,1,OK
249.527,0,0,1,OK
257.73,5,0,1,OK
263.727,1,0,1,OK
268.73,6,1,1,OK
277.927,2,0,1,OK
279.73,7,1,1,OK
