time_s,cluster_id,skdc_node,members,reachable,avg_dist_m
2,0,1,6,1,200
2,1,2,6,1,250
2,2,3,6,1,300
4,0,1,6,1,200
4,1,2,6,1,250
4,2,3,6,1,300
6,0,1,6,1,200
6,1,2,6,1,250
6,2,3,6,1,300
8,0,1,6,1,200
8,1,2,6,1,250
8,2,3,6,1,300
10,0,1,6,1,200
10,1,2,6,1,250
10,2,3,6,1,300
12,0,1,6,1,200
12,1,2,6,1,250
12,2,3,6,1,300
14,0,1,6,1,200
14,1,2,6,1,250
14,2,3,6,1,300
16,0,1,6,1,200
16,1,2,6,1,250
16,2,3,6,1,300
18,0,1,6,1,200
18,1,2,6,1,250
18,2,3,6,1,300
20,0,1,6,1,200
20,1,2,6,1,250
20,2,3,6,1,300
22,0,1,6,1,200
22,1,2,6,1,250
22,2,3,6,1,300
24,0,1,6,1,200
24,1,2,6,1,250
24,2,3,6,1,300
26,0,1,6,1,200
26,1,2,6,1,250
26,2,3,6,1,300
28,0,1,6,1,200
28,1,2,6,1,250
28,2,3,6,1,300
30,0,1,6,1,200
30,1,2,6,1,250
30,2,3,6,1,300
32,0,1,6,1,200
32,1,2,6,1,250
32,2,3,6,1,300
34,0,1,6,1,200
34,1,2,6,1,250
34,2,3,6,1,300
36,0,1,6,1,200
36,1,2,6,1,250
36,2,3,6,1,300
38,0,1,6,1,200
38,1,2,6,1,250
38,2,3,6,1,300
40,0,1,6,1,200
40,1,2,6,1,250
40,2,3,6,1,300
42,0,1,6,1,200
42,1,2,6,1,250
42,2,3,6,1,300
44,0,1,6,1,200
44,1,2,6,1,250
44,2,3,6,1,300
46,0,1,6,1,200
46,1,2,6,1,250
46,2,3,6,1,300
48,0,1,6,1,200
48,1,2,6,1,250
48,2,3,6,1,300
50,0,1,6,1,200
50,1,2,6,1,250
50,2,3,6,1,300
52,0,1,6,1,200
52,1,2,6,1,250
52,2,3,6,1,300
54,0,1,6,1,200
54,1,2,6,1,250
54,2,3,6,1,300
56,0,1,6,1,200
56,1,2,6,1,250
56,2,3,6,1,300
58,0,1,6,1,200
58,1,2,6,1,250
58,2,3,6,1,300
60,0,1,6,1,200
60,1,2,6,1,250
60,2,3,6,1,300
62,0,1,6,1,200
62,1,2,6,1,250
62,2,3,6,1,300
64,0,1,6,1,200
64,1,2,6,1,250
64,2,3,6,1,300
66,0,1,6,1,200
66,1,2,6,1,250
66,2,3,6,1,300
68,0,1,6,1,200
68,1,2,6,1,250
68,2,3,6,1,300
70,0,1,6,1,200
70,1,2,6,1,250
70,2,3,6,1,300
72,0,1,6,1,200
72,1,2,6,1,250
72,2,3,6,1,300
74,0,1,6,1,200
74,1,2,6,1,250
74,2,3,6,1,300
76,0,1,6,1,200
76,1,2,6,1,250
76,2,3,6,1,300
78,0,1,6,1,200
78,1,2,6,1,250
78,2,3,6,1,300
80,0,1,6,1,200
80,1,2,6,1,250
80,2,3,6,1,300
82,0,1,6,1,200
82,1,2,6,1,250
82,2,3,6,1,300
84,0,1,6,1,200
84,1,2,6,1,250
84,2,3,6,1,300
86,0,1,6,1,200
86,1,2,6,1,250
86,2,3,6,1,300
88,0,1,6,1,200
88,1,2,6,1,250
88,2,3,6,1,300
90,0,1,6,1,200
90,1,2,6,1,250
90,2,3,6,1,300
92,0,1,6,1,200
92,1,2,6,1,250
92,2,3,6,1,300
94,0,1,6,1,200
94,1,2,6,1,250
94,2,3,6,1,300
96,0,1,6,1,200
96,1,2,6,1,250
96,2,3,6,1,300
98,0,1,6,1,200
98,1,2,6,1,250
98,2,3,6,1,300
100,0,1,6,1,200
100,1,2,6,1,250
100,2,3,6,1,300
102,0,1,6,1,200
102,1,2,6,1,250
102,2,3,6,1,300
104,0,1,6,1,200
104,1,2,6,1,250
104,2,3,6,1,300
106,0,1,6,1,200
106,1,2,6,1,250
106,2,3,6,1,300
108,0,1,6,1,200
108,1,2,6,1,250
108,2,3,6,1,300
110,0,1,6,1,200
110,1,2,6,1,250
110,2,3,6,1,300
112,0,1,6,1,200
112,1,2,6,1,250
112,2,3,6,1,300
114,0,1,6,1,200
114,1,2,6,1,250
114,2,3,6,1,300
116,0,1,6,1,200
116,1,2,6,1,250
116,2,3,6,1,300
118,0,1,6,1,200
118,1,2,6,1,250
118,2,3,6,1,300
120,0,1,6,1,200
120,1,2,6,1,250
120,2,3,6,1,300
122,0,1,6,1,200
122,1,2,6,1,250
122,2,3,6,1,300
124,0,1,6,1,200
124,1,2,6,1,250
124,2,3,6,1,300
126,0,1,6,1,200
126,1,2,6,1,250
126,2,3,6,1,300
128,0,1,6,1,200
128,1,2,6,1,250
128,2,3,6,1,300
130,0,1,6,1,200
130,1,2,6,1,250
130,2,3,6,1,300
132,0,1,6,1,200
132,1,2,6,1,250
132,2,3,6,1,300
134,0,1,6,1,200
134,1,2,6,1,250
134,2,3,6,1,300
136,0,1,6,1,200
136,1,2,6,1,250
136,2,3,6,1,300
138,0,1,6,1,200
138,1,2,6,1,250
138,2,3,6,1,300
140,0,1,6,1,200
140,1,2,6,1,250
140,2,3,6,1,300
142,0,1,6,1,200
142,1,2,6,1,250
142,2,3,6,1,300
144,0,1,6,1,200
144,1,2,6,1,250
144,2,3,6,1,300
146,0,1,6,1,200
146,1,2,6,1,250
146,2,3,6,1,300
148,0,1,6,1,200
148,1,2,6,1,250
148,2,3,6,1,300
150,0,1,6,1,200
150,1,2,6,1,250
150,2,3,6,1,300
152,0,1,6,1,200
152,1,2,6,1,250
152,2,3,6,1,300
154,0,1,6,1,200
154,1,2,6,1,250
154,2,3,6,1,300
156,0,1,6,1,200
156,1,2,6,1,250
156,2,3,6,1,300
158,0,1,6,1,200
158,1,2,6,1,250
158,2,3,6,1,300
160,0,1,6,1,200
160,1,2,6,1,250
160,2,3,6,1,300
162,0,1,6,1,200
162,1,2,6,1,250
162,2,3,6,1,300
164,0,1,6,1,200
164,1,2,6,1,250
164,2,3,6,1,300
166,0,1,6,1,200
166,1,2,6,1,250
166,2,3,6,1,300
168,0,1,6,1,200
168,1,2,6,1,250
168,2,3,6,1,300
170,0,1,6,1,200
170,1,2,6,1,250
170,2,3,6,1,300
172,0,1,6,1,200
172,1,2,6,1,250
172,2,3,6,1,300
