operation,uav_id,wall_us
AES_ENC,0,240.9
CRT_VERIFY,0,322.4
AES_ENC,1,55291.8
CRT_VERIFY,1,73724.8
AES_ENC,2,56459.7
CRT_VERIFY,2,75282.4
AES_ENC,3,37849.2
CRT_VERIFY,3,50466.4
AES_ENC,4,220.5
CRT_VERIFY,4,295.6
AES_ENC,5,231
CRT_VERIFY,5,308.4
AES_ENC,6,2394
CRT_VERIFY,6,3192.8
AES_ENC,7,2100
CRT_VERIFY,7,2800.4
AES_ENC,8,2072.7
CRT_VERIFY,8,2765.6
AES_ENC,9,5741.4
CRT_VERIFY,9,7656
AES_ENC,10,6396
CRT_VERIFY,10,8528.8
AES_ENC,11,5882.4
CRT_VERIFY,11,7844.4
AES_ENC,12,2447.1
CRT_VERIFY,12,3263.6
AES_ENC,13,6105.6
CRT_VERIFY,13,8141.2
AES_ENC,14,11894.1
CRT_VERIFY,14,15859.6
