uav_id,cluster_id,pdr,throughput_kbps,avg_delay_ms,loss_ratio
0,0,1,0.116053,1,0.5
1,0,0.666667,0.116053,1,0.333333
2,0,0.666667,0.116053,1,0.333333
3,0,0.666667,0.116053,1,0.333333
4,0,0.666667,0.116053,1,0.333333
5,0,0.666667,0.116053,1,0.333333
6,1,0.666667,0.116053,1,0.333333
7,1,0.666667,0.116053,1,0.333333
8,1,0.666667,0.116053,1,0.333333
9,1,0.666667,0.116053,1,0.333333
10,1,0.666667,0.116053,1,0.333333
11,1,0.666667,0.116053,1,0.333333
12,2,0.666667,0.116053,1,0.333333
13,2,1,0.116053,1,0.5
14,2,1,0.116053,1,0.5
15,2,1,0.109227,1.95,1
16,2,1,0.109227,1.95,1
17,2,1,0.109227,1.95,1
