time_s,cluster_id,tek_version,forward_ok,backward_ok,event_type
5,0,1,1,1,JOIN
25,0,3,1,1,JOIN
45,0,5,1,1,JOIN
60,0,8,1,1,PERIODIC
60,1,2,1,1,PERIODIC
60,2,2,1,1,PERIODIC
60,0,11,1,1,KDC_INIT
60,1,3,1,1,KDC_INIT
60,2,3,1,1,KDC_INIT
65,0,11,1,1,JOIN
80,0,12,1,1,HANDOVER
80,1,4,1,1,HANDOVER
85,0,12,1,1,JOIN
105,0,14,1,1,JOIN
125,1,4,1,1,JOIN
145,1,6,1,1,JOIN
165,1,8,1,1,JOIN
185,1,8,1,1,JOIN
205,1,10,1,1,JOIN
225,1,12,1,1,JOIN
245,2,3,1,1,JOIN
265,2,3,1,1,JOIN
285,2,3,1,1,JOIN
305,2,5,1,1,JOIN
325,2,7,1,1,JOIN
345,2,9,1,1,JOIN
365,0,16,1,1,JOIN
385,0,16,1,1,JOIN
405,0,16,1,1,JOIN
425,0,16,1,1,JOIN
445,0,18,1,1,JOIN
465,0,20,1,1,JOIN
485,1,16,1,1,JOIN
505,1,16,1,1,JOIN
525,1,16,1,1,JOIN
545,1,16,1,1,JOIN
565,1,16,1,1,JOIN
585,1,16,1,1,JOIN
605,2,15,1,1,JOIN
625,2,15,1,1,JOIN
645,2,15,1,1,JOIN
665,2,15,1,1,JOIN
685,2,15,1,1,JOIN
705,2,15,1,1,JOIN
725,0,28,1,1,JOIN
745,0,28,1,1,JOIN
765,0,28,1,1,JOIN
785,0,28,1,1,JOIN
805,0,28,1,1,JOIN
825,0,28,1,1,JOIN
845,1,28,1,1,JOIN
865,1,28,1,1,JOIN
885,1,28,1,1,JOIN
905,1,28,1,1,JOIN
925,1,28,1,1,JOIN
945,1,28,1,1,JOIN
965,2,27,1,1,JOIN
985,2,27,1,1,JOIN
1005,2,27,1,1,JOIN
1025,2,27,1,1,JOIN
1045,2,27,1,1,JOIN
1065,2,27,1,1,JOIN
1085,0,40,1,1,JOIN
1105,0,40,1,1,JOIN
1125,0,40,1,1,JOIN
1145,0,40,1,1,JOIN
1165,0,40,1,1,JOIN
1185,0,40,1,1,JOIN
1205,1,40,1,1,JOIN
1225,1,40,1,1,JOIN
1245,1,40,1,1,JOIN
1265,1,40,1,1,JOIN
1285,1,40,1,1,JOIN
1305,1,40,1,1,JOIN
1325,2,39,1,1,JOIN
1345,2,39,1,1,JOIN
1365,2,39,1,1,JOIN
1385,2,39,1,1,JOIN
1405,2,39,1,1,JOIN
1425,2,39,1,1,JOIN
1445,0,50,1,1,JOIN
1465,0,52,1,1,JOIN
1485,0,52,1,1,JOIN
1505,0,52,1,1,JOIN
1525,0,52,1,1,JOIN
1545,0,52,1,1,JOIN
1565,1,48,1,1,JOIN
1585,1,48,1,1,JOIN
1605,1,50,1,1,JOIN
1625,1,52,1,1,JOIN
1645,1,52,1,1,JOIN
1665,1,52,1,1,JOIN
1685,2,43,1,1,JOIN
1705,2,45,1,1,JOIN
1725,2,47,1,1,JOIN
1745,2,49,1,1,JOIN
1765,2,51,1,1,JOIN
1785,2,51,1,1,JOIN
1805,0,54,1,1,JOIN
1825,0,56,1,1,JOIN
1845,0,58,1,1,JOIN
1865,0,60,1,1,JOIN
1885,0,60,1,1,JOIN
1905,0,62,1,1,JOIN
1925,1,52,1,1,JOIN
1945,1,54,1,1,JOIN
1965,1,56,1,1,JOIN
1985,1,56,1,1,JOIN
2005,1,58,1,1,JOIN
2025,1,60,1,1,JOIN
2045,2,51,1,1,JOIN
2065,2,51,1,1,JOIN
2085,2,51,1,1,JOIN
2105,2,53,1,1,JOIN
2125,2,55,1,1,JOIN
2145,2,57,1,1,JOIN
2165,0,64,1,1,JOIN
2185,0,64,1,1,JOIN
2205,0,64,1,1,JOIN
2225,0,64,1,1,JOIN
2245,0,66,1,1,JOIN
2265,0,68,1,1,JOIN
2285,1,64,1,1,JOIN
2305,1,64,1,1,JOIN
2325,1,64,1,1,JOIN
2345,1,64,1,1,JOIN
2365,1,64,1,1,JOIN
2385,1,64,1,1,JOIN
2405,2,63,1,1,JOIN
2425,2,63,1,1,JOIN
2445,2,63,1,1,JOIN
2465,2,63,1,1,JOIN
2485,2,63,1,1,JOIN
2505,2,63,1,1,JOIN
2525,0,76,1,1,JOIN
2545,0,76,1,1,JOIN
2565,0,76,1,1,JOIN
2585,0,76,1,1,JOIN
2605,0,76,1,1,JOIN
2625,0,76,1,1,JOIN
2645,1,76,1,1,JOIN
2665,1,76,1,1,JOIN
2685,1,76,1,1,JOIN
2705,1,76,1,1,JOIN
2725,1,76,1,1,JOIN
2745,1,76,1,1,JOIN
2765,2,75,1,1,JOIN
2785,2,75,1,1,JOIN
2805,2,75,1,1,JOIN
2825,2,75,1,1,JOIN
2845,2,75,1,1,JOIN
2865,2,75,1,1,JOIN
2885,0,88,1,1,JOIN
2905,0,88,1,1,JOIN
2925,0,88,1,1,JOIN
2945,0,88,1,1,JOIN
2965,0,88,1,1,JOIN
2985,0,88,1,1,JOIN
