time_s,uav_id,cluster_id,sinr_db,jammed,drop_prob
2,0,0,19.2013,0,8.56912e-19
2,1,0,12.8703,0,6.23423e-05
2,2,0,13.0943,0,3.73432e-05
2,3,0,19.6674,0,7.69841e-21
2,4,0,26.5462,0,9.25044e-99
2,5,1,27.4065,0,3.08674e-120
2,6,1,21.4573,0,4.23873e-31
2,7,1,14.1682,0,2.13822e-06
2,8,1,12.2409,0,0.000230234
2,9,1,17.4472,0,8.63846e-13
2,10,2,25.0006,0,2.10415e-69
2,11,2,27.9564,0,2.27673e-136
2,12,2,23.5972,0,1.93524e-50
2,13,2,15.9307,0,3.10489e-09
2,14,2,12.0055,0,0.000358152
4,0,0,18.4106,0,8.71389e-16
4,1,0,12.5437,0,0.00012574
4,2,0,13.532,0,1.26676e-05
4,3,0,20.467,0,6.60919e-25
4,4,0,26.9726,0,7.12666e-109
4,5,1,27.0676,0,2.88643e-111
4,6,1,20.6647,0,4.94156e-26
4,7,1,13.6507,0,9.27001e-06
4,8,1,12.4742,0,0.00014502
4,9,1,18.2169,0,3.95686e-15
4,10,2,25.599,0,1.50245e-79
4,11,2,27.8334,0,1.39647e-132
4,12,2,22.8658,0,9.80494e-43
4,13,2,15.2634,0,5.05616e-08
4,14,2,12.0158,0,0.000351492
6,0,0,17.6358,0,2.51733e-13
6,1,0,12.2915,0,0.000208685
6,2,0,14.0344,0,3.17823e-06
6,3,0,21.262,0,9.18456e-30
6,4,0,27.3293,0,3.93434e-118
6,5,1,26.6581,0,2.55201e-101
6,6,1,19.8655,0,8.86183e-22
6,7,1,13.1965,0,2.92953e-05
6,8,1,12.7826,0,7.56598e-05
6,9,1,19.0044,0,5.42049e-18
6,10,2,26.1415,0,4.89113e-90
6,11,2,27.6322,0,1.30688e-126
6,12,2,22.1059,0,5.43671e-36
6,13,2,14.6434,0,4.72549e-07
6,14,2,12.1058,0,0.000297549
8,0,0,16.8847,0,2.52409e-11
8,1,0,12.1164,0,0.000291715
8,2,0,14.5963,0,5.53027e-07
8,3,0,22.0443,0,1.70373e-35
8,4,0,27.6128,0,4.73698e-126
8,5,1,26.1821,0,7.07887e-91
8,6,1,19.0676,0,3.02533e-18
8,7,1,12.8103,0,7.1201e-05
8,8,1,13.1632,0,3.17265e-05
8,9,1,19.8018,0,1.79481e-21
8,10,2,26.6226,0,1.68436e-100
8,11,2,27.3546,0,8.10791e-119
