time_s,active,jammed,compromised,disconnected,survivability,connectivity
1,6,0,0,0,0.333333,0.0980392
6,6,0,0,0,0.333333,0.0980392
11,6,0,0,0,0.333333,0.0980392
16,6,0,0,0,0.333333,0.0980392
21,6,0,0,0,0.333333,0.0980392
26,6,0,0,0,0.333333,0.0980392
31,6,0,0,0,0.333333,0.0980392
36,6,0,0,0,0.333333,0.0980392
41,6,0,0,0,0.333333,0.0980392
46,6,0,0,0,0.333333,0.0980392
51,6,0,0,0,0.333333,0.0980392
56,6,0,0,0,0.333333,0.0980392
61,6,0,0,0,0.333333,0.0980392
66,6,0,0,0,0.333333,0.0980392
71,6,0,0,0,0.333333,0.0980392
76,6,0,0,0,0.333333,0.0980392
81,6,0,0,0,0.333333,0.0980392
86,6,0,0,0,0.333333,0.0980392
91,6,0,0,0,0.333333,0.0980392
96,6,0,0,0,0.333333,0.0980392
101,6,0,0,0,0.333333,0.0980392
106,6,0,0,0,0.333333,0.0980392
111,6,0,0,0,0.333333,0.0980392
116,6,0,0,0,0.333333,0.0980392
121,6,0,0,0,0.333333,0.0980392
126,6,0,0,0,0.333333,0.0980392
131,6,0,0,0,0.333333,0.0980392
136,6,0,0,0,0.333333,0.0980392
141,6,0,0,0,0.333333,0.0980392
146,6,0,0,0,0.333333,0.0980392
151,6,0,0,0,0.333333,0.0980392
156,6,0,0,0,0.333333,0.0980392
161,6,0,0,0,0.333333,0.0980392
166,6,0,0,0,0.333333,0.0980392
171,6,0,0,0,0.333333,0.0980392
176,6,0,0,0,0.333333,0.0980392
181,6,0,0,0,0.333333,0.0980392
186,6,0,0,0,0.333333,0.0980392
191,6,0,0,0,0.333333,0.0980392
196,6,0,0,0,0.333333,0.0980392
201,6,0,0,0,0.333333,0.0980392
206,6,0,0,0,0.333333,0.0980392
211,6,0,0,0,0.333333,0.0980392
216,6,0,0,0,0.333333,0.0980392
221,6,0,0,0,0.333333,0.0980392
226,6,0,0,0,0.333333,0.0980392
231,6,0,0,0,0.333333,0.0980392
236,6,0,0,0,0.333333,0.0980392
241,6,0,0,0,0.333333,0.0980392
246,6,0,0,0,0.333333,0.0980392
251,6,0,0,0,0.333333,0.0980392
256,6,0,0,0,0.333333,0.0980392
261,6,0,0,0,0.333333,0.0980392
266,6,0,0,0,0.333333,0.0980392
271,6,0,0,0,0.333333,0.0980392
276,6,0,0,0,0.333333,0.0980392
281,6,0,0,0,0.333333,0.0980392
286,6,0,0,0,0.333333,0.0980392
291,6,0,0,0,0.333333,0.0980392
296,6,0,0,0,0.333333,0.0980392
301,6,0,0,0,0.333333,0.0980392
306,6,0,0,0,0.333333,0.0980392
311,6,0,0,0,0.333333,0.0980392
316,6,0,0,0,0.333333,0.0980392
321,6,0,0,0,0.333333,0.0980392
326,6,0,0,0,0.333333,0.0980392
331,6,0,0,0,0.333333,0.0980392
336,6,0,0,0,0.333333,0.0980392
341,6,0,0,0,0.333333,0.0980392
346,6,0,0,0,0.333333,0.0980392
351,6,0,0,0,0.333333,0.0980392
356,6,0,0,0,0.333333,0.0980392
361,6,0,0,0,0.333333,0.0980392
366,6,0,0,0,0.333333,0.0980392
371,6,0,0,0,0.333333,0.0980392
376,6,0,0,0,0.333333,0.0980392
381,6,0,0,0,0.333333,0.0980392
386,6,0,0,0,0.333333,0.0980392
391,6,0,0,0,0.333333,0.0980392
396,6,0,0,0,0.333333,0.0980392
401,6,0,0,0,0.333333,0.0980392
406,6,0,0,0,0.333333,0.0980392
411,6,0,0,0,0.333333,0.0980392
416,6,0,0,0,0.333333,0.0980392
421,6,0,0,0,0.333333,0.0980392
426,6,0,0,0,0.333333,0.0980392
431,6,0,0,0,0.333333,0.0980392
436,6,0,0,0,0.333333,0.0980392
441,6,0,0,0,0.333333,0.0980392
446,6,0,0,0,0.333333,0.0980392
451,6,0,0,0,0.333333,0.0980392
456,6,0,0,0,0.333333,0.0980392
461,6,0,0,0,0.333333,0.0980392
466,6,0,0,0,0.333333,0.0980392
471,6,0,0,0,0.333333,0.0980392
476,6,0,0,0,0.333333,0.0980392
481,6,0,0,0,0.333333,0.0980392
486,6,0,0,0,0.333333,0.0980392
491,6,0,0,0,0.333333,0.0980392
496,6,0,0,0,0.333333,0.0980392
501,6,0,0,0,0.333333,0.0980392
506,6,0,0,0,0.333333,0.0980392
511,6,0,0,0,0.333333,0.0980392
516,6,0,0,0,0.333333,0.0980392
521,6,0,0,0,0.333333,0.0980392
526,6,0,0,0,0.333333,0.0980392
531,6,0,0,0,0.333333,0.0980392
536,6,0,0,0,0.333333,0.0980392
541,6,0,0,0,0.333333,0.0980392
546,6,0,0,0,0.333333,0.0980392
551,6,0,0,0,0.333333,0.0980392
556,6,0,0,0,0.333333,0.0980392
561,6,0,0,0,0.333333,0.0980392
566,6,0,0,0,0.333333,0.0980392
571,6,0,0,0,0.333333,0.0980392
576,6,0,0,0,0.333333,0.0980392
581,6,0,0,0,0.333333,0.0980392
586,6,0,0,0,0.333333,0.0980392
591,6,0,0,0,0.333333,0.0980392
596,6,0,0,0,0.333333,0.0980392
601,6,0,0,0,0.333333,0.0980392
606,6,0,0,0,0.333333,0.0980392
611,6,0,0,0,0.333333,0.0980392
616,6,0,0,0,0.333333,0.0980392
621,6,0,0,0,0.333333,0.0980392
626,6,0,0,0,0.333333,0.0980392
631,6,0,0,0,0.333333,0.0980392
636,6,0,0,0,0.333333,0.0980392
641,6,0,0,0,0.333333,0.0980392
646,6,0,0,0,0.333333,0.0980392
651,6,0,0,0,0.333333,0.0980392
656,6,0,0,0,0.333333,0.0980392
661,6,0,0,0,0.333333,0.0980392
666,6,0,0,0,0.333333,0.0980392
671,6,0,0,0,0.333333,0.0980392
676,6,0,0,0,0.333333,0.0980392
681,6,0,0,0,0.333333,0.0980392
686,6,0,0,0,0.333333,0.0980392
691,6,0,0,0,0.333333,0.0980392
696,6,0,0,0,0.333333,0.0980392
701,6,0,0,0,0.333333,0.0980392
706,6,0,0,0,0.333333,0.0980392
711,6,0,0,0,0.333333,0.0980392
716,6,0,0,0,0.333333,0.0980392
721,6,0,0,0,0.333333,0.0980392
726,6,0,0,0,0.333333,0.0980392
731,6,0,0,0,0.333333,0.0980392
736,6,0,0,0,0.333333,0.0980392
741,6,0,0,0,0.333333,0.0980392
746,6,0,0,0,0.333333,0.0980392
751,6,0,0,0,0.333333,0.0980392
756,6,0,0,0,0.333333,0.0980392
761,6,0,0,0,0.333333,0.0980392
766,6,0,0,0,0.333333,0.0980392
771,6,0,0,0,0.333333,0.0980392
776,6,0,0,0,0.333333,0.0980392
781,6,0,0,0,0.333333,0.0980392
786,6,0,0,0,0.333333,0.0980392
791,6,0,0,0,0.333333,0.0980392
796,6,0,0,0,0.333333,0.0980392
801,6,0,0,0,0.333333,0.0980392
806,6,0,0,0,0.333333,0.0980392
811,6,0,0,0,0.333333,0.0980392
816,6,0,0,0,0.333333,0.0980392
821,6,0,0,0,0.333333,0.0980392
826,6,0,0,0,0.333333,0.0980392
831,6,0,0,0,0.333333,0.0980392
836,6,0,0,0,0.333333,0.0980392
841,6,0,0,0,0.333333,0.0980392
846,6,0,0,0,0.333333,0.0980392
851,6,0,0,0,0.333333,0.0980392
856,6,0,0,0,0.333333,0.0980392
861,6,0,0,0,0.333333,0.0980392
866,6,0,0,0,0.333333,0.0980392
871,6,0,0,0,0.333333,0.0980392
876,6,0,0,0,0.333333,0.0980392
881,6,0,0,0,0.333333,0.0980392
886,6,0,0,0,0.333333,0.0980392
891,6,0,0,0,0.333333,0.0980392
896,6,0,0,0,0.333333,0.0980392
901,6,0,0,0,0.333333,0.0980392
906,6,0,0,0,0.333333,0.0980392
911,6,0,0,0,0.333333,0.0980392
916,6,0,0,0,0.333333,0.0980392
921,6,0,0,0,0.333333,0.0980392
926,6,0,0,0,0.333333,0.0980392
931,6,0,0,0,0.333333,0.0980392
936,6,0,0,0,0.333333,0.0980392
941,6,0,0,0,0.333333,0.0980392
946,6,0,0,0,0.333333,0.0980392
