time_s,pdr,throughput_kbps,avg_delay_ms,sinr_db,total_rekeys,survivability,connectivity,overhead_ratio
1,0,0,0,0,0,0,0,0
2,0,0,0,19.7194,0,1,0,0
3,0,0,0,19.7194,0,1,0,0
4,0,0,0,19.7467,0,1,0,0
5,1,0.4096,0.05,19.7467,1,1,0,0
6,1,0.341333,0.05,19.7765,1,1,0,0
7,1,0.292571,0.05,19.7765,1,1,0,0
8,1,0.256,0.05,19.8086,1,1,0,0
9,0.5,0.227556,0.05,19.8086,2,1,0,0
10,0.5,0.2048,0.05,19.8426,2,1,0,0
11,0.5,0.186182,0.05,19.8426,2,1,0,0
12,0.5,0.170667,0.05,19.8781,2,1,0,0
13,0.5,0.157538,0.05,19.8781,2,1,0,0
14,0.5,0.146286,0.05,19.9148,2,1,0,0
15,0.5,0.136533,0.05,19.9148,2,1,0,0
16,0.666667,0.256,0.05,19.9525,3,1,0,0
17,0.666667,0.240941,0.05,19.9525,3,1,0,0
18,0.666667,0.227556,0.05,19.9905,3,1,0,0
19,0.666667,0.215579,0.05,19.9905,3,1,0,0
20,0.666667,0.2048,0.05,20.0287,3,1,0,0
21,0.666667,0.195048,0.05,20.0287,3,1,0,0
22,0.666667,0.186182,0.05,20.0666,3,1,0,0
23,0.5,0.178087,0.05,20.0666,4,1,0,0
24,0.5,0.170667,0.05,20.1038,4,1,0,0
25,0.5,0.16384,0.05,20.1038,4,1,0,0
26,0.5,0.157538,0.05,20.14,4,1,0,0
27,0.6,0.227556,0.05,20.14,5,1,0,0
28,0.6,0.219429,0.05,20.1748,5,1,0,0
29,0.6,0.211862,0.05,20.1748,5,1,0,0
30,0.6,0.2048,0.05,20.2078,5,1,0,0
31,0.6,0.198194,0.05,20.2078,5,1,0,0
32,0.6,0.192,0.05,20.2388,5,1,0,0
33,0.6,0.186182,0.05,20.2388,5,1,0,0
34,0.6,0.180706,0.05,20.2674,5,1,0,0
35,0.6,0.175543,0.05,20.2674,5,1,0,0
36,0.6,0.170667,0.05,20.2933,5,1,0,0
37,0.5,0.166054,0.05,20.2933,6,1,0,0
38,0.571429,0.215579,0.05,20.3163,7,1,0,0
