uav_id,cluster_id,throughput_kbps,pdr,avg_delay_ms,sinr_db,jammed,drop_prob
0,0,0.0425228,1,3.81313,-1.99179,1,0.399672
1,0,0,0,0,-7.15078,1,0.606031
2,0,0,0,0,-0.613614,1,0.344545
3,0,0,0,0,-3.80148,1,0.472059
4,0,0,0,0,-12.2652,1,0.8
5,0,0,0,0,-6.15325,1,0.56613
6,1,0,0,0,-6.17803,1,0.567121
7,1,0,0,0,-0.618431,1,0.344737
8,1,0,0,0,1.19759,1,0.272096
9,1,0,0,0,-2.2058,1,0.408232
10,1,0,0,0,-5.26535,1,0.530614
11,1,0,0,0,-9.55105,1,0.702042
12,2,0,0,0,-13.4152,1,0.8
13,2,0,0,0,-4.57629,1,0.503052
14,2,0,0,0,-11.112,1,0.764479
15,2,0,0,0,-5.4954,1,0.539816
16,2,0,0,0,-2.31555,1,0.412622
17,2,0,0,0,-3.583,1,0.46332
