uav_id,cluster_id,sinr_db,jammed,drop_prob,impact
0,0,-12.9856,1,0.8,1
1,0,-5.15522,1,0.526209,0.657761
2,0,-8.09033,1,0.643613,0.804517
3,0,-10.5441,1,0.741762,0.927203
4,0,-13.8643,1,0.8,1
5,0,-1.3956,1,0.375824,0.46978
6,1,-0.781714,1,0.351269,0.439086
7,1,1.55222,1,0.257911,0.322389
8,1,-0.708051,1,0.348322,0.435403
9,1,1.65096,1,0.253962,0.317452
10,1,-5.87589,1,0.555036,0.693795
11,1,-2.1236,1,0.404944,0.50618
12,2,1.27458,1,0.269017,0.336271
13,2,1.51815,1,0.259274,0.324092
14,2,2.22504,1,0.230999,0.288748
15,2,-1.16448,1,0.366579,0.458224
16,2,1.99041,1,0.240384,0.30048
17,2,-3.22349,1,0.448939,0.561174
