scenario,run,seed,rekeys,handovers,pdr,throughput_kbps,sinr_db
scenario,run,seed,rekeys,handovers,pdr,throughput_kbps,sinr_db
scenario,run,seed,rekeys,handovers,pdr,throughput_kbps,sinr_db
scenario,run,seed,rekeys,handovers,pdr,throughput_kbps,sinr_db
scenario,run,seed,rekeys,handovers,pdr,throughput_kbps,sinr_db
baseline,1,42,903,439,1.0000,kbps,dB
baseline,2,43,903,372,1.0000,kbps,dB
baseline,3,44,898,367,1.0000,kbps,dB
baseline,4,45,903,420,1.0000,kbps,dB
baseline,5,46,903,377,1.0000,kbps,dB
baseline,6,47,903,318,1.0000,kbps,dB
baseline,7,48,898,317,1.0000,kbps,dB
baseline,8,49,883,275,1.0000,kbps,dB
baseline,9,50,903,369,1.0000,kbps,dB
baseline,10,51,903,390,1.0000,kbps,dB
baseline,1,42,903,439,1.0000,0.03926,-0.09079
baseline,2,43,903,372,1.0000,0.03926,0.5644
baseline,3,44,898,367,1.0000,0.03926,1.391
baseline,4,45,903,420,1.0000,0.03926,-4.222
baseline,5,46,903,377,1.0000,0.03926,-2.996
baseline,6,47,903,318,1.0000,0.03926,0.165
baseline,7,48,898,317,1.0000,0.03926,1.19
baseline,8,49,883,275,1.0000,0.03926,-5.492
baseline,9,50,903,369,1.0000,0.03926,-0.05688
baseline,10,51,903,390,1.0000,0.03926,-3.278
baseline,1,42,903,439,1.0000,0.03926,-0.09079
baseline,2,43,903,372,1.0000,0.03926,0.5644
baseline,3,44,898,367,1.0000,0.03926,1.391
baseline,4,45,903,420,1.0000,0.03926,-4.222
baseline,5,46,903,377,1.0000,0.03926,-2.996
baseline,6,47,903,318,1.0000,0.03926,0.165
baseline,7,48,898,317,1.0000,0.03926,1.19
baseline,8,49,883,275,1.0000,0.03926,-5.492
baseline,9,50,903,369,1.0000,0.03926,-0.05688
baseline,10,51,903,390,1.0000,0.03926,-3.278
baseline,1,42,903,446,0.2158,3.059,0.1957
baseline,2,43,898,418,0.2685,1.09,-2.836
baseline,3,44,903,372,0.3233,2.991,-1.951
baseline,4,45,903,475,0.2681,3.147,-3.677
baseline,5,46,903,356,0.1810,1.419,-2.903
baseline,6,47,898,282,0.3302,0.7774,-0.2703
baseline,7,48,903,343,0.2753,1.965,-0.1875
baseline,8,49,903,527,0.2189,0.3794,-3.226
baseline,1,42,903,446,0.2158,3.059,0.1957
baseline,2,43,898,418,0.2685,1.09,-2.836
baseline,3,44,903,372,0.3233,2.991,-1.951
baseline,4,45,903,475,0.2681,3.147,-3.677
baseline,5,46,903,356,0.1810,1.419,-2.903
baseline,6,47,898,282,0.3302,0.7774,-0.2703
baseline,7,48,903,343,0.2753,1.965,-0.1875
baseline,8,49,903,527,0.2189,0.3794,-3.226
baseline,9,50,903,408,0.3644,2.148,-2.075
baseline,10,51,903,372,0.1787,0.8127,-5.377
baseline,1,42,903,446,0.2158,3.059,0.1957
baseline,2,43,898,418,0.2685,1.09,-2.836
baseline,3,44,903,372,0.3233,2.991,-1.951
baseline,4,45,903,475,0.2681,3.147,-3.677
baseline,5,46,903,356,0.1810,1.419,-2.903
baseline,6,47,898,282,0.3302,0.7774,-0.2703
baseline,7,48,903,343,0.2753,1.965,-0.1875
baseline,8,49,903,527,0.2189,0.3794,-3.226
baseline,9,50,903,408,0.3644,2.148,-2.075
baseline,10,51,903,372,0.1787,0.8127,-5.377
