uav_id,cluster_id,throughput_kbps,pdr,avg_delay_ms,sinr_db,jammed,drop_prob
0,0,0.039256,1,7.0016,3.27758,1,0.188897
1,0,0,0,0,-1.19393,1,0.367757
2,0,0,0,0,2.70637,1,0.211745
3,0,0,0,0,2.33658,1,0.226537
4,0,0,0,0,3.53555,1,0.178578
5,0,0,0,0,0.484421,1,0.300623
6,1,0,0,0,3.71419,1,0.171432
7,1,0,0,0,-2.39946,1,0.415979
8,1,0,0,0,-4.70874,1,0.50835
9,1,0,0,0,1.9437,1,0.242252
10,1,0,0,0,1.37308,1,0.265077
11,1,0,0,0,-2.90143,1,0.436057
12,2,0,0,0,-2.62541,1,0.425016
13,2,0,0,0,1.62423,1,0.255031
14,2,0,0,0,0.590531,1,0.296379
15,2,0,0,0,2.08715,1,0.236514
16,2,0,0,0,1.6159,1,0.255364
17,2,0,0,0,-1.30119,1,0.372048
