uav_id,cluster_id,sinr_db,jammed,drop_prob,impact
0,0,3.27758,1,0.188897,0.236121
1,0,-1.19393,1,0.367757,0.459697
2,0,2.70637,1,0.211745,0.264682
3,0,2.33658,1,0.226537,0.283171
4,0,3.53555,1,0.178578,0.223223
5,0,0.484421,1,0.300623,0.375779
6,1,3.71419,1,0.171432,0.214291
7,1,-2.39946,1,0.415979,0.519973
8,1,-4.70874,1,0.50835,0.635437
9,1,1.9437,1,0.242252,0.302815
10,1,1.37308,1,0.265077,0.331346
11,1,-2.90143,1,0.436057,0.545072
12,2,-2.62541,1,0.425016,0.53127
13,2,1.62423,1,0.255031,0.318789
14,2,0.590531,1,0.296379,0.370473
15,2,2.08715,1,0.236514,0.295643
16,2,1.6159,1,0.255364,0.319205
17,2,-1.30119,1,0.372048,0.46506
