scenario,run,seed,rekeys,handovers,pdr,throughput_kbps,sinr_db
scenario,run,seed,rekeys,handovers,pdr,throughput_kbps,sinr_db
scenario,run,seed,rekeys,handovers,pdr,throughput_kbps,sinr_db
scenario,run,seed,rekeys,handovers,pdr,throughput_kbps,sinr_db
scenario,run,seed,rekeys,handovers,pdr,throughput_kbps,sinr_db
denied_environment,1,142,903,327,1.0000,kbps,dB
denied_environment,2,143,898,389,1.0000,kbps,dB
denied_environment,3,144,888,325,1.0000,kbps,dB
denied_environment,4,145,903,383,1.0000,kbps,dB
denied_environment,5,146,828,329,1.0000,kbps,dB
denied_environment,6,147,883,377,1.0000,kbps,dB
denied_environment,7,148,903,374,1.0000,kbps,dB
denied_environment,8,149,898,388,1.0000,kbps,dB
denied_environment,9,150,903,377,1.0000,kbps,dB
denied_environment,10,151,903,531,1.0000,kbps,dB
denied_environment,1,142,903,327,1.0000,0.03926,-3.679
denied_environment,2,143,898,389,1.0000,0.03926,-5.221
denied_environment,3,144,888,325,1.0000,0.03926,-1.535
denied_environment,4,145,903,383,1.0000,0.03926,-2.677
denied_environment,5,146,828,329,1.0000,0.03926,-5.281
denied_environment,6,147,883,377,1.0000,0.03926,-3.97
denied_environment,7,148,903,374,1.0000,0.03926,-1.786
denied_environment,8,149,898,388,1.0000,0.03926,-2.924
denied_environment,9,150,903,377,1.0000,0.03926,-2.447
denied_environment,10,151,903,531,1.0000,0.03926,0.5193
denied_environment,1,142,903,327,1.0000,0.03926,-3.679
denied_environment,2,143,898,389,1.0000,0.03926,-5.221
denied_environment,3,144,888,325,1.0000,0.03926,-1.535
denied_environment,4,145,903,383,1.0000,0.03926,-2.677
denied_environment,5,146,828,329,1.0000,0.03926,-5.281
denied_environment,6,147,883,377,1.0000,0.03926,-3.97
denied_environment,7,148,903,374,1.0000,0.03926,-1.786
denied_environment,8,149,898,388,1.0000,0.03926,-2.924
denied_environment,9,150,903,377,1.0000,0.03926,-2.447
denied_environment,10,151,903,531,1.0000,0.03926,0.5193
denied_environment,1,142,903,378,0.2598,2.295,-1.37
denied_environment,2,143,903,309,0.2772,2.249,-3.684
denied_environment,3,144,903,456,0.2843,1.278,-2.419
denied_environment,4,145,898,467,0.3066,1.465,-4.441
denied_environment,5,146,903,494,0.3129,0.4358,-3.78
denied_environment,6,147,893,218,0.3143,2.593,-3.561
denied_environment,7,148,903,359,0.2844,0.5639,-1.248
denied_environment,8,149,903,474,0.3086,3.304,-2.662
denied_environment,9,150,898,264,0.3126,2.895,-0.1378
denied_environment,10,151,903,298,0.2701,2.069,-0.3251
denied_environment,1,142,903,378,0.2598,2.295,-1.37
denied_environment,2,143,903,309,0.2772,2.249,-3.684
denied_environment,3,144,903,456,0.2843,1.278,-2.419
denied_environment,4,145,898,467,0.3066,1.465,-4.441
denied_environment,5,146,903,494,0.3129,0.4358,-3.78
denied_environment,6,147,893,218,0.3143,2.593,-3.561
denied_environment,7,148,903,359,0.2844,0.5639,-1.248
denied_environment,8,149,903,474,0.3086,3.304,-2.662
denied_environment,9,150,898,264,0.3126,2.895,-0.1378
denied_environment,10,151,903,298,0.2701,2.069,-0.3251
