uav_id,cluster_id,sinr_db,jammed,drop_prob,impact
0,0,2.13578,1,0.234569,0.293211
1,0,1.0574,1,0.277704,0.34713
2,0,1.09421,1,0.276232,0.34529
3,0,1.97932,1,0.240827,0.301034
4,0,-1.67613,1,0.387045,0.483807
5,0,3.21519,1,0.191392,0.239241
6,1,-8.63227,1,0.665291,0.831614
7,1,2.36258,1,0.225497,0.281871
8,1,4.93641,1,0.122543,0.153179
9,1,-16.2688,1,0.8,1
10,1,-2.08743,1,0.403497,0.504372
11,1,3.50722,1,0.179711,0.224639
12,2,-3.39921,1,0.455968,0.56996
13,2,-7.03182,1,0.601273,0.751591
14,2,-6.14426,1,0.56577,0.707213
15,2,2.54521,1,0.218192,0.27274
16,2,-3.62791,1,0.465116,0.581396
17,2,-1.58738,1,0.383495,0.479369
