uav_id,cluster_id,throughput_kbps,pdr,avg_delay_ms,sinr_db,jammed,drop_prob
0,0,0.039256,1,6.47489,2.8102,1,0.207592
1,0,0,0,0,-4.92919,1,0.517168
2,0,0,0,0,-3.46378,1,0.458551
3,0,0,0,0,-0.852169,1,0.354087
4,0,0,0,0,1.36891,1,0.265244
5,0,0,0,0,-9.52785,1,0.701114
6,1,0,0,0,-5.9312,1,0.557248
7,1,0,0,0,-9.27758,1,0.691103
8,1,0,0,0,-13.6978,1,0.8
9,1,0,0,0,-1.82095,1,0.392838
10,1,0,0,0,-4.62735,1,0.505094
11,1,0,0,0,-4.89594,1,0.515838
12,2,0,0,0,-0.103422,1,0.324137
13,2,0,0,0,-3.06316,1,0.442526
14,2,0,0,0,-8.15348,1,0.646139
15,2,0,0,0,-3.41873,1,0.456749
16,2,0,0,0,0.733453,1,0.290662
17,2,0,0,0,-2.6111,1,0.424444
