uav_id,cluster_id,sinr_db,jammed,drop_prob,impact
0,0,-2.06179,1,0.402472,0.50309
1,0,-0.750699,1,0.350028,0.437535
2,0,1.7632,1,0.249472,0.31184
3,0,-0.13675,1,0.32547,0.406838
4,0,3.60425,1,0.17583,0.219787
5,0,-2.51455,1,0.420582,0.525727
6,1,-12.8828,1,0.8,1
7,1,-0.729498,1,0.34918,0.436475
8,1,-20.3709,1,0.8,1
9,1,-4.16768,1,0.486707,0.608384
10,1,-3.52492,1,0.460997,0.576246
11,1,-10.3428,1,0.733713,0.917141
12,2,-5.05348,1,0.522139,0.652674
13,2,1.60801,1,0.25568,0.3196
14,2,1.7131,1,0.251476,0.314345
15,2,2.46894,1,0.221242,0.276553
16,2,-10.4549,1,0.738196,0.922746
17,2,-4.39446,1,0.495778,0.619723
