uav_id,cluster_id,throughput_kbps,pdr,avg_delay_ms,sinr_db,jammed,drop_prob
0,0,1.2779,0,0,-2.28104,1,0.411242
1,0,0,0,0,3.02237,1,0.199105
2,0,0,0,0,3.50044,1,0.179982
3,0,0,0,0,-1.57813,1,0.383125
4,0,0,0,0,1.88704,1,0.244518
5,0,0,0,0,3.55678,1,0.177729
6,1,0,0,0,-7.0642,1,0.602568
7,1,0,0,0,-0.462139,1,0.338486
8,1,0,0,0,-6.2896,1,0.571584
9,1,0,0,0,-1.74097,1,0.389639
10,1,0,0,0,-7.21181,1,0.608473
11,1,0,0,0,1.59197,1,0.256321
12,2,0,0,0,-6.56087,1,0.582435
13,2,0,0,0,-19.0241,1,0.8
14,2,0,0,0,-1.70475,1,0.38819
15,2,0,0,0,-1.52594,1,0.381037
16,2,0,0,0,-4.63426,1,0.50537
17,2,0,0,0,2.97516,1,0.200994
