uav_id,cluster_id,sinr_db,jammed,drop_prob,impact
0,0,1.1428,1,0.274288,0.34286
1,0,-2.52272,1,0.420909,0.526136
2,0,-3.13629,1,0.445451,0.556814
3,0,-5.65036,1,0.546014,0.682518
4,0,1.08299,1,0.276681,0.345851
5,0,-9.22224,1,0.688889,0.861112
6,1,0.880749,1,0.28477,0.355963
7,1,-3.8851,1,0.475404,0.594255
8,1,-4.24149,1,0.48966,0.612074
9,1,-2.88362,1,0.435345,0.544181
10,1,-3.676,1,0.46704,0.5838
11,1,-13.8067,1,0.8,1
12,2,1.17642,1,0.272943,0.341179
13,2,2.76302,1,0.209479,0.261849
14,2,1.01733,1,0.279307,0.349133
15,2,3.98127,1,0.160749,0.200936
16,2,-3.64384,1,0.465753,0.582192
17,2,-0.270406,1,0.330816,0.41352
